" İÇERİK"," SINIF"
" Bu sayfayı paylaşın ve beğenin, el imzalı bir Rihanna fotoğrafı kazanın!!! fb - Rihanna hayranları","1"
" Bu sayfayı paylaşın ve beğenin, el imzalı bir Rihanna fotoğrafı kazanın!!! fb - Rihanna hayranları","1"
" sayfamı inceleyin ADAM B BEATS 2013","1"
" Videomu izle ve paylaş lütfen :D","1"
" YouTube'daki bu videoyu izleyin:","1"
"Beğen & Abone Ol /watch?v=5tu9gN1l310","1"
" charlieee :DDDD (Sadece Lost'u izleyenler anlayacaktır)﻿","0"
" BAYANLAR!!! ----- ; ; Kalbiniz kırıksa veya sadece erkekleri daha iyi anlamak istiyorsanız AMAZON'daki The Power of the Pussy adlı bu yeraltı kitabına göz atmalısınız. Biz kızlar için gelmiş geçmiş en iyi kitap! Ah...ve sadece bir uyarı, 18 yaş ve üzeri için...lol","1"
" KAHVE! SEVERLER! LÜTFEN! OKUYUN! You Tube'da yazdığım ve söylediğim COFFEE LOVA adlı şarkıya bir göz atın. You Tube'da olduğunuz sırada COFFEE LOVA'yı benim yazdığım gibi yazın, enter'a basın. Sonra COFFEE LOVA başlıklı videoyu arayın, enter'a basın ve PATLAT! OFF!","1"
"Merhaba dostum, eğer kanalıma ABONE olabilirsen lütfen kanalıma ABONE ol. Ben genç ve kendini adamış bir rapçiyim, kendimi geliştirmek için her gün video paylaşıyorum. Her gün yazıyorum/icra ediyorum/kaydediyorum/miksliyorum/düzenliyorum/paylaşıyorum. Kendimi geliştirmek için her gün bir verse (16 bar) yapıyorum. Bunu gelişmek için yılda 365 gün yapıyorum, şu anda 46. günümdeyim. Eğer siz de bu yorumu beğenebilirseniz lütfen herkes görsün ve yolculuğumda beni takip etsin/her gün gelişmemi izlesin. LÜTFEN ABONE OLUN. Ben şiirsel biriyim ve gerçekçiyim. Hayallerime ulaşmama yardım edin, bir hayran kitlesi oluşturmama yardım edin, TEŞEKKÜRLER (:","1"
" çok fazla yorum.","0"
" 1 milyara yakın izlenme aldım, aman Tanrım.!!!﻿","0"
" En iyi şarkı","0"
" ABONE OLUN! MÜZİK YAPIYORUM!","1"
" 2015'te bile dünyanın 1 numaralı şarkısı","0"
" Merhaba, bayıldım","0"
" Eminem'i seviyorsanız bana abone olun","1"
" Lol o hayvan gezegenindeki adam ve kaybolmuş. Ve kız sanırım megan fox hahah","0"
" Bu şarkı doğru çünkü çılgınca çünkü erkekler bir kıza bunu yapar ve insanların bir erkeğin bir kıza bunu asla yapmayacağını söylediği doğru değil ama erkekler, YALANCILAR, BİZE KIZLARA BÖYLE DAVRANMAYI BIRAKIN, HEPİNİZ BERBATSINIZ!﻿","0"
" Videoyu beğendim","0"
" Merhaba, ben Bulgaristan'danım.","0"
" eğer rihanna'yı seviyorsanız bana abone olun","1"
" Eminem rap'i bir erkek için kolay olabilir ama ben bunu yapabilirim","0"
" eğer rihanna'yı seviyorsanız bana abone olun","1"
" KANALIMDAKİ MÜZİK VİDEOMUZU İZLEYİN!!!","1"
" youtube'daki grup sayfamıza göz atın killtheclockhd - &quot;your disguise&quot; da dahil olmak üzere bazı orijinal şarkılarımızı dinleyin","1"
" Arkadaşlar lütfen hiphop beatleri için kanalımı kontrol edebilir misiniz?","1"
" Bu şarkıyı çok ama çok seviyorum","0"
" Herkes gelip yeni GTA 5 Oynanışını buradan inceleyebilir: /watch?v=6_H0m5sAYho","1"
" YouTube'daki bu videoyu izleyin:","1"
" Merhaba arkadaşlar, ben 87 yaşındayım, Cypher, 11 yaşındayım ve Rap benim hayatım. Yakın zamanda ikinci albümüm olan Desire EP'yi yaptım. Lütfen YouTube'daki albümümü kontrol etmek için bir dakikanızı ayırın, okuduğunuz için çok teşekkür ederim, her beğeni, yorum ve abonelik sayısı.","1"
" Eminem - Yalan söyleme şeklini seviyorum ♥ ♥ ♥﻿","0"
"Hey millet, daha fazla 87 Cyphers'a hazır mısınız? YouTube'daki videomu izleyin. YENİ ALBÜM ÇIKTI, BAKIN. YARIN DAHA FAZLA MÜZİK OKUDUĞUNUZ İÇİN TEŞEKKÜRLER","1"
" Hey, eğer sizin için sorun olmazsa... Çocuklarımı ve müziğimi dinleyebilir misiniz... Az önce gerçek bir lirik şarkı yaptık... DNA Andrew Guasch'ı arayın... Bunu takdir ediyorum. Gerçek geri bildirimler bırakın ve Hip-Hop'u canlı tutun.","1"
" O kız Megan Fox mu?","0"
" Çok üzücü...﻿","0"
" Merhaba. Kanalımda sadece BİR Eminem şarkısı yaptım. Lütfen sadece BEĞENİ atabilir misiniz? Abone olmanıza gerek yok. Teşekkürler.","1"
"Merhaba arkadaşlar, eğer kanalıma ABONE olabilirseniz, ben gerçekten adanmış genç bir rapçiyim, her gün bir video yayınlıyorum, her gün bir kıta (16 bar) (bir şarkının bir kısmı) paylaşıyorum, gelişmek için bunu 365 gün yapıyorum, şu anda 41. gündeyim, bir yıl boyunca tek bir gün bile kaçırmadan bunu yapacağım. Eğer siz arkadaşlar, lütfen ABONE olabilir ve hayallerime giden yolculuğumda beni takip edebilirseniz, gelişmemi izleyin, bu benim için gerçekten çok şey ifade ediyor, teşekkür ederim (:, sizi hayal kırıklığına uğratmayacağıma söz veriyorum (: lirik biriyim, gerçekçiyim!","1"
"Hey, ben MES, ben genç ve yükselen bir rapçiyim ve müziğimin duyulmasını istiyorum, spam'in bana şöhret getirmeyeceğini biliyorum. Ama şu anda biraz ilgi çekmenin bir yolu yok, bu yüzden lütfen bana bir iyilik yapın ve kanalıma göz atın ve eğer eğlenirseniz abone olun. Daha yeni başlıyorum, bu yüzden yapıcı eleştiriler bırakmak için zaman ayıranları gerçekten takdir ediyorum. İlk videomda 200 abone ve 4000 izlenme aldım, potansiyelim olduğu söylendi.","1"
" şarkı sözlerini beğendim ama müzik videosunu beğenmedim","0"
"Umarım herkesin keyfi yerindedir Çok çalışkan bir öğrenciyim ve aynı zamanda tutkulu bir şarkıcıyım Kendi müziğimi yapıp paylaşabileceğim günü iple çekiyorum Ama şimdilik sadece cover yapıyorum. Kanalıma göz atın, Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink ve sayısız başkasının cover'larını yaptım. Sadece isterseniz abone olun. Amacım ünlü olmak değil ilham vermek Bu arada, bu spam değil, herkesin ifade özgürlüğü hakkı vardır. Teşekkürler","1"
" rap ve hip hop müzik için kanalımı inceleyin","1"
" BR﻿","0"
" adam b beats sayfamı kontrol edin","1"
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Harika</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Paylaş</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿","1"
" Ben MES'im, yüksek umutları olan hevesli genç bir rapçiyim. Bu bağlantıyı tıklamayacağınızı ve kanalıma bakmayacağınızı biliyorum. Sadece istemiyorsunuz. Aslında bu sizin seçiminiz. Aslında neyi bildiğinizi biliyorsunuz. TIKLAMAYIN","1"
" Bayılıyorum","0"
"Bunu 1 Milyar Görüntülemeye ulaştırmamız lazım!!﻿","0"
" Hey? Herkes lütfen bunu okumak için bir dakikanızı ayırın. Müzik sektörüne girmeyi umarak kıçımı yırtıyorum ama reklam ve görünürlük için paranız olmadığında insanların sizi dinlemesini sağlamak zor. Herkes gibi hayalleri ve hedefleri olan genç bir sanatçıyım. Lütfen 30 saniyenizi ayırın ve kanalımı ziyaret edin. Beni beğenmek zorunda değilsiniz, sadece yeteneğimi kanıtlamam için bana bir şans verin. Ayrıca lütfen hayatınızdan sadece 1 saniyenizi ayırın ve bu yorumu beğenin, bu çok yardımcı olacaktır.","1"
" Şaşırtıcı","0"
" Yaklaşık bir milyar","0"
" Harika şarkı","0"
"LÜTFEN &quot;ZİHİNİ SEVİYORUZ MASTER IT&quot; ADLI VİDEOMUZU İZLEYİN TEŞEKKÜRLER","1"
" Tamam, bana güvenin, bir iyilik yapıyorum. YouTube'da Columbus Nelson adlı bu adamı mutlaka izlemelisiniz.","1"
" Katılıyorum, onlar sadece lanet spam göndericileri. Berbatlar. Ben de aynısını yapmaya ve tanınmaya çalışıyorum. Bu hissi biliyorum. Sana yardım edeceğim ve sayfana beğeniler ve yorumlar bırakacağım. Umarım sen de aynısını yapabilirsin ve belki bana abone olabilirsin, bu harika olur, teşekkürler","1"
" adam b beats sayfamı kontrol et 2013","1"
" ŞU ŞARKI SÖZLERİNE BAKIN /watch?v=yUTTX04oyqQ","1"
"Bu şarkıyı anlamıyorum, kadınlara karşı tutkum var, aklımı kaçırıyormuşum gibi hissediyorum ama birinin yalan söyleme şeklini sevme fikrini anlamıyorum...","0"
" *****LÜTFEN OKUYUN***** Herkese merhaba! Şarkı söylemeyi seven 19 yaşında bir öğrenciyim. Kanalımda cover'lar kaydedip yüklüyorum. Bunları kontrol ederseniz çok sevinirim. Bana bir şans verin. Beğenmeniz veya abone olmanız gerekmiyor (Ancak duyduklarınızı beğendiyseniz yapabilirsiniz) Sadece dinleyin. Gerçekten minnettar olurum. ~Zaman ayırdığınız için TEŞEKKÜRLER.~","1"
" 2015'te burada başka kimse var mı?","0"
" Merhaba ben lil m !!! Love the way you lie'yi izleyin!!!! Canlı performansım ve diğer birçok,,, videolar ve kendi sözlerim!!!!! Teşekkürler","1"
" Yorumunuz o kadar güzel ki, size abone oluyorum.","1"
" Mmph versiyonunu daha çok beğeniyorum","0"
" Terrance. .ülkemize hizmet ettiğiniz için teşekkür ederiz. Sizi nasıl &quot;beğenebilirim&quot; veya &quot;abone olabilirim&quot;?","1"
" Eğer bunu 2015'te dinliyorsanız tebrikler.","0"
" Herkese merhaba, kanalıma göz atın, lütfen beğenin ve abone olun. Ayrıca yapmamı istediğiniz bir şarkı varsa yorumlara adını yazın, ben de yaparım (: Teşekkürler","1"
"Kolay para kazanmak ister misin? tvcmcadavid.weebly.com sayfamı incele bu fırsatı kaçırma","1"
" Herkese merhaba. Biz bir ikiliyiz ve serbest stilleri kaydedip YouTube'a koymaya başlıyoruz. Eğer herhangi biriniz bunu kontrol edip beğenip yorum yapabilirse bu bizim için çok şey ifade eder çünkü bunu yapmayı seviyoruz. En iyi kayıt ekipmanına sahip olmayabiliriz ancak şarkı sözlerimizi ve kafiyelerimizi dinlerseniz beğeneceğinizi düşünüyorum. Eğer beğenirseniz lütfen abone olun ve paylaşın çünkü bu videoları yapmayı seviyoruz ve sizin de olabildiğince beğenmenizi istiyoruz bu yüzden yorum yapmaktan ve bize ipuçları vermekten çekinmeyin! Teşekkürler!","1"
"Tüm bayanlar için... Bu bağlantıya göz atın! Kadınlar için en popüler saç stillerini ve en son trendleri bulacaksınız! Bu siteye gidin ve saç stillerinizi ve moda anlayışınızı daha üst bir seviyeye taşıyın! Geride kalmayın! --- ; goo.gl\BxrOSR","1"
" Merhaba, ben Bangladeşliyim 💜﻿","0"
" O Megan Fox mu?","0"
" Yangın..﻿","0"
" EMINEM HAYRANLARI!!! - JDP'nin Yeni Şarkısı &quot;FEELIN&#39; GOOD&quot;u Dinleyin Bu Yazının Üst Kısmındaki &quot;GHOSTPOET100&quot; Bağlantısına Tıklayın Hepinize Teşekkür Ederim...","1"
"Merhaba Arkadaşlar, Ben Geleceğin Rapçilerinden Biriyim Kanalıma göz atıp ne düşündüğünüzü söylerseniz, abone olursanız veya beğenirseniz çok sevinirim. Nefret edenler de katılabilir :) Teşekkürler","1"
" &quot;MIND MASTER IT'İ SEVİYORUZ&quot; ADINI VERDİĞİM BU YENİ VİDEOYU İZLEYİN, ÇOK TEŞEKKÜRLER","1"
" Yalan söyleme şeklini seviyorum","0"
" Hey, ben MES, ben genç ve yükselen bir rapçiyim ve müziğimin duyulmasını istiyorum, spam'in bana şöhret getirmeyeceğini biliyorum. Ama şu anda biraz ilgi çekmenin bir yolu yok, bu yüzden lütfen bana bir iyilik yapın ve kanalıma göz atın ve eğer eğlenirseniz abone olun. Daha yeni başlıyorum, bu yüzden yapıcı eleştiriler bırakmak için zaman ayıranları gerçekten takdir ediyorum. İlk videomda 200 abone ve 4000 izlenme aldım, potansiyelim olduğu söylendi.","1"
" Yalan söyleme şeklini seviyorum II bence daha hoş. :D","0"
" Neredeyse bir milyara :)﻿","0"
" Eğer gerçek müziği seven biriyseniz &quot;Cruz Supat&quot;ı dinlemelisiniz.<br />O inanılmaz bir adam!!! Tıpkı Eminem'in eskiden olduğu gibi.","0"
" Ayrıca Djj, şimdi nereye gidiyorum ve iyileşme yoluna da göz atın","1"
" Charlie adadan ayrıldı ve Megan Fox ile çıkmaya başladı mı? a-peki ya Claire?﻿","0"
" Merhaba arkadaşlar!! Remixlerime bir göz atın!! Teşekkürler, harikasınız!! SWAG!!","1"
" Lütfen youtube kanalıma göz atın! İlk youtube videomu yükledim lütfen göz atın, pişman olmayacaksınız!","1"
" Eminem her zaman en iyi rapçidir","0"
" Aman Tanrım! Bu adam Amerikan profesör Green'e benziyor","0"
" Eğer bunun 1 milyar görüntülenme alması gerektiğini düşünüyorsanız beğenin","0"
" Lütfen En İyi Yorumları Yapın!!﻿","0"
" bu şarkıyı seviyorum","0"
"En sevdiğim şarkı 💗💗💗💗﻿","0"
" bazı rapçilerle çalışmaya çalışıyorum, kanalımda bulunanlara göz atın","1"
" Kanalımda Berzerk videosuna göz atın! :D","1"
" süper","0"
" eminem'in yeni şarkısı videolarımı izleyin","1"
" YouTube'daki bu videoyu izleyin:","1"
"Arkadaşımın karısı ayda 4000 dolar kazanıyor, eğer orospu olmak istiyorsan bunu yapabilirsin, anket doldurarak evden çalışarak bu tür ücretler alamazsın... Bu saçmalıklara inanmayın, Yahoo ve diğerlerinin paralarını alması onların YASAL olduğu anlamına gelmez... Lütfen bunu beğenin ki MSG savunmasız insanlara ulaşsın, tıpkı Eminem'in eskiden yaptığı gibi","1"
" Lütfen Bana Abone Olun Beyler","1"
" bu youtube'daki en çok izlenen 4. video ve youtube'daki en çok aboneye sahip 21. kanal, yakın zamanda justing bieber'ı geride bıraktı ve taylor swift'i geçmeye 100'den az abone kaldı","1"
"Hey, ben MES, ben genç ve yükselen bir rapçiyim ve müziğimin duyulmasını istiyorum, spam'in bana şöhret getirmeyeceğini biliyorum. Ama şu anda biraz ilgi çekmenin bir yolu yok, bu yüzden lütfen bana bir iyilik yapın ve kanalıma göz atın ve eğer eğlenirseniz abone olun. Daha yeni başlıyorum, bu yüzden yapıcı eleştiriler bırakmak için zaman ayıranları gerçekten takdir ediyorum. İlk videomda 200 abone ve 4000 izlenme aldım, potansiyelim olduğu söylendi.","1"
" Seni seviyorum","0"
" Lil m !!!!! Hi out'a bak!!!!! Yalan söylediğin şekilde yaşıyor ve daha fazlası! Bak!!! Ve abone ol","1"
"Herkese merhaba! Lütfen videomu izleyin: /watch?v=2b4WyWpHi8c Sadece 2 dakika sürüyor, umarım çok fazla şey istemiyorumdur. Bana yardımcı olamazsanız lütfen videoyu Beğenin ve Paylaşın, böylece daha fazla kişi görsün. Başparmak Yukarı, benim için çok şey ifade eder, belki de hayalimi gerçekleştirir. Herkese teşekkürler, TANRI HEPİNİZİ KORUSUN!","1"
" /watch?v=aImbWbfQbzg izle ve abone ol","1"
" Seni seviyorum Eminem","0"
" seni seviyorum yalan iyi","0"
" 2015'te hala dinliyorum","0"
"Hey, ben MES, ben genç ve yükselen bir rapçiyim ve müziğimin duyulmasını istiyorum, spam'in bana şöhret getirmeyeceğini biliyorum. Ama şu anda biraz ilgi çekmenin bir yolu yok, bu yüzden lütfen bana bir iyilik yapın ve kanalıma göz atın ve eğer eğlenirseniz abone olun. Daha yeni başlıyorum, bu yüzden yapıcı eleştiriler bırakmak için zaman ayıranları gerçekten takdir ediyorum. İlk videomda 200 abone ve 4000 izlenme aldım, potansiyelim olduğu söylendi.","1"
" Eminem muhteşem!﻿","0"
" KOMİK VE HAVALI RAP İÇİN YOUTUBE VİDEOLARIMA GÖZ ATIN","1"
"Hay benim dürüstlüğüm var Wright, 12 yaşındayım, şarkını seviyorum, bu şarkıyı yaptığın için teşekkür ederim, bu şarkıyı çok seviyorum, bazen kalpler kırılabilir, insanlar kendilerini öldürür veya çılgına döner, seni çok seviyorum, teşekkür ederim 😱👏devam et, hayalinin gerçekleştiğinden emin ol, iyi şanslar","0"
" harika","0"
" Ben seviyorum","0"
" Lütfen abone olun ve videomu beğenin","1"
" abone oldum :) bu arada tarzın çok güzel devam et kardeşim :))","1"
"BUNU OKUMAK İSTEMEYEBİLİRSİNİZ AMA LÜTFEN OKUYUN Ben 87 yaşındayım, Cypher, 11 yaşında bir rapçiyim, yetenekliyim, insanlar yetenekli olduğumu söylüyor. Benimkiler yenileri kadar iyi değil ama iyi, lütfen mevcut şarkılarıma bakın, yorum yapın ve beğenin, okuduğunuz için teşekkür ederim, rap benim hayatım","1"
" Kayıp! dizisinden Charlie","0"
" Eminem EN İYİSİ!﻿","0"
" Arkadaşlar genelde böyle insanlara oy vermezdim ama aslında kanalına bir bakın, bana 8 mil'in daha küçük bir versiyonunu hatırlatıyor. Herkes bir yerden başlamak zorunda olduğu için bu adama bir şans verin!","1"
" ❤️❤️❤️﻿","0"
"Merhaba arkadaşlar. Ben 15 yaşında genç bir rapçiyim ve hiçbir şeyden bir şeyler çıkarmaya çalışıyorum. Lütfen hayatınızdan bir saniyenizi ayırıp videolarımı izleyin ve hayallerime ulaşmama yardımcı olun! Tanrı sizi korusun","1"
" güzel şarkı!﻿","0"
" KANALIMA GÖZ ATIN ERKEKLER VE KIZLAR ;)","1"
" Hey millet, spam almak can sıkıcı biliyorum, bunun için özür dilerim ama lütfen kanalımı kontrol etmek için bir dakikanızı ayırın. BEN İYİ becerilere sahip bir RAPÇİYİM. Müziğimi daha fazla insanla paylaşmak istiyorum, bu yüzden dinleyin. BAŞPARMAKLAR YUKARI, BÖYLECE DAHA FAZLA KİŞİ BUNU GÖREBİLİR","1"
" gelmiş geçmiş en iyi rap","0"
" Bu şarkıyı seviyorum","0"
" Hey millet, bunu atlamak istediğinizi biliyorum ama lütfen bir şans verin ve müziğimi dinleyin. Ben büyük bir hayali olan genç ve yükselen bir rapçiyim ve yapıcı eleştirileri takdir ediyorum. Lütfen bir göz atın, zaman ayırdığınız için teşekkür ederim.","1"
" Şarkılarını seviyorum<br />Çok havalı<br />﻿","0"
" Müziği beğendim...ama şarkı sözlerini dinleyen var mı?","0"
"Belki kimse bunu okumayacaktır. Ama yine de okursanız Başkalarının Görebilmesi İçin Bir ""Baş Parmak Yukarı"" Koyabilir misiniz? Ciddi bir şekilde rap yapmaya yeni başladım (Lundan- 1990 Videosu yazın) sadece basit bir düğme? hayallerimin gerçekleşmesine yardımcı olabilir. İnsanlar bunu görmezden gelecek ama siz yapmazsanız dinleyip abone olabilirsiniz. Hepinize teşekkürler Tanrı korusun.","1"
" :D﻿","0"
" Şarkı sözleri için kanalımı inceleyin...","1"
" Ben ve ablam senin gibiyiz","0"
" Fena değil","0"
" Eminem'i seviyorum  ;3﻿","0"
" Megan Fox'a benziyor 😂 xD!!﻿","0"
" Hey Kanalıma Git Dongs'larıma Bakın Teşekkürler YouTuber'lar","1"
" o megan fox mu?","0"
" Eminem ve Nirvana'dan nefret edemezsin...bana güven","0"
" Eminen gibi","0"
" çalma listeme göz atın","1"
"Medya Şeytandır! Lütfen görün ve paylaşın: WW W. FARRELL RAPORU. NET Üst Düzey Eski İngiltere Polis İstihbarat Analisti ve Muhalif Tony Farrell, Ana Akım Eğlence ve Medya Hukuk firmalarının içinden suç işleyen suçlular tarafından işlenen korkunç ve korkunç bir örtbası ifşa ediyor. Dikkatli olun, çocuklarınızı koruyun!! Bu şeytanlar masum insanları acımasızca hedef alıyor. Bunlar Londra'nın 2005'teki 7/7 saldırılarıyla bağlantılı gerçek suçlular. MUTLAKA GÖRÜLMELİ VE VİRÜS YAPTIRILMALI!!! Ayrıca 31 Ocak 2013 tarihli UK Column videosuna da bakın.","1"
" kanalıma abone olabilecek olan","1"
" Sadece rap tanrısı","0"
" o megan fox mu x:D?﻿","0"
" Bu şarkıyı seviyorum","0"
" yeni EM kapak video fragmanıma göz atın","1"
" Gerçekten güzel bir şarkı.<br />aşk şarkısı şarkısını biliyorsun.","0"
" Eminem mikrofona dokunan en büyük sanatçıdır.","0"
" Rihanna'yı seviyorum 😍😍😍😍[♧Tayland'dan♧]﻿","0"
" bazı klasikler :))))﻿","0"
"spam için özür dilerim hepiniz, bunun can sıkıcı olduğunu biliyorum. Ama eğer bir dakikanızı ayırabilirseniz lütfen kanalımdaki yeni parçaya bakın. Ben geleceğin İngiliz rapçisiyim. Lütfen gelip şarkılarımı dinleyin, beğenebilirsiniz. Beğenmezseniz endişelenmeyin, zamanınızı boşa harcadığım için özür dilerim. Daha fazla fark edilmek için bir beğeni bile gerçekten yardımcı olacaktır. Hoşça kalın hepiniz","1"
" Bu şarkı oreo gibi, siyah kısmı güzel ama beyaz kısmı daha da güzel","0"
" Kayıp TV şovundaki o adam charley","0"
" kanalıma abone ol /watch?v=NxK32i0HkDs","1"
" Merhaba, ben 14 yıllık rapçiyim, beni destekleyin ve kanalıma göz atın. Ayrıca şarkımı da dinleyebilirsiniz. Ayrıca beni TWITTER'dan @McAshim adresinden takip edin.","1"
" Merhaba Brezilya 😻✌💓😻👏﻿","0"
" EMINEM gelmiş geçmiş en iyisi.","0"
" Hey millet, spam yaptığımın farkındayım ve bu insanları sinirlendiriyor ama lütfen müziğime bir göz atmak için bir dakikanızı ayırın. Ben genç bir rapçiyim ve bunu yapmayı seviyorum. Sadece müziğimi daha fazla insanla paylaşmak istiyorum. Sadece resmime tıklayın ve sonra işlerimi beğenip beğenmediğinize bakın.","1"
" SEAN KINGSTON'IN NASIL ÜNLÜ OLDUĞUNU BİLİYOR MUSUN, ÇOCUK, KENDİNE BU KADAR ZOR YAPMAYA BAŞLAMADAN ÖNCE NEDEN ARAŞTIRMIYORSUN!! E-POSTA KUTUMA BİR MESAJ GÖNDERİRSEN VE ABONE OLURSAN KANALIMIZA GÖZ ATACAĞIM... BANA ADİL GELİYOR.","1"
" En iyi. Şarkı. HER ZAMAN 🙌﻿","0"
" Eminem'in son şarkısı Survival'ı dinlemediyseniz","1"
" KANALIMA ABONE OLUN X LÜTFEN!. YEDEK","1"
" Videolarıma bir bakın beyler! :) Umarım iyi eğlenmişsinizdir :D","1"
" 3 yıl önce sağlık sorunum vardı ama şükürler olsun ki iyiyim. Hayatı dolu dolu yaşamadığımı fark ettim. Şimdi her zaman yapmak istediğim HER ŞEYİ yapma misyonundayım. Yarın öleceğinizi öğrenseydiniz başardıklarınızdan mutlu olur muydunuz yoksa bazı şeyleri yapmadığınız için pişman olur muydunuz? Spam yaptığım için özür dilerim. Sadece insanları her zaman yapmak istedikleri şeyleri yapmaya motive etmeye çalışıyorum. Sıkıldınızsa şimdiye kadar neler yaptığımı görün! Neredeyse 1000 abone ve ben daha yeni başladım!","1"
" Rihanna kızıl saçla çok güzel görünüyor ;)﻿","0"
" 857.482.940 görüntüleme HARİKA !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿","0"
" bunu çok seviyorum. VE ayrıca Otomatik Pilotta Ücretsiz Potansiyel Müşteriler Üretiyorum ve Siz de Üretebilirsiniz! http://www.MyLeaderGate.com/moretraffic﻿","1"
" http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Lütfen SONES'e oy verin... VIP'lere karşıyız... Lütfen bize yardım edin...  ;. ;﻿","1"
" Hey millet! Lütfen istismara uğramış/kötü muamele görmüş hayvanlara yardım etme mücadelemde bana katılın! Tüm fon veteriner faturalarını ödemeye/veya yuva bulmalarına yardımcı olmaya gidecek! Engelli hayvanlara yardım etmeye ekstra önem vereceğim, aksi takdirde diğer hayvan örgütleri tarafından uyutulacaklar. Lütfen bağış yapın. http://www.gofundme.com/Angels-n-Wingz﻿","1"
" http://psnboss.com/?ref=2tGgp3pV6L bu şarkı","1"
" Herkese merhaba. Bu fragmanı izleyin!!!!!!!! http://believemefilm.com?hlr=h2hQBUVB﻿","1"
" rap'ime bir göz atın umarım beğenirsiniz https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork ve beni takip edip mesaj atın :)﻿","1"
" Lütfen instagram hesabıma abone olun, ben de size abone olurum ♥ http://instagram.com/cyrine_ghorbel﻿","1"
" Hey millet!! Lütfen kanalımı ziyaret edin (bir rüya arıyorum)","1"
"Güzel! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK","1"
" http://www.twitch.tv/daconnormc​","1"
" Hey millet, ben Glamour Beauty! Youtube kanalımı yeni açtım lütfen gidip bakın! Şarkı söyleme videoları ve ayrıca hoşuma giden rastgele videolar paylaşacağım! Lütfen abone olun! Yakında daha fazlası gelecek! Abone olmayı unutmayın!﻿","1"
" Merhaba arkadaşlar! Annem Noel'den önce 100 abone olursam bir kedi yavrusu alacağımı söyledi ve ben her zaman bir kedi yavrusu istedim, bu yüzden lütfen videolarımı izleyin ve beğendiyseniz abone olun veya beğenin :) Lütfen kötü yorumlar yapmayın","1"
" https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿","1"
" https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;tiyatro ﻿","1"
" https://soundcloud.com/artady lütfen çalışmalarımı kontrol edin ve geri bildirimde bulunun","1"
" Katie'ye ara verin ve bu ay 100 aboneye ulaşmama yardım edin! Yeni müzikler ve ücretsiz indirmeler!","1"
" Lütfen beni abone edin","1"
" Kapaklarıma göz atın, yakında çıkacak bir videom var lütfen abone olun","1"
" KANALIMA ABONE OLUN","1"
" Merhaba arkadaşlar. Ben çok küçük bir YouTuber'ım ve neredeyse her gün video yüklüyorum. Bir gün shikas gibi olmayı umuyorum, bu yüzden lütfen bu kanalı izlemek için hayatınızdan 2 dakikanızı ayırın. Ve yeni videom tüm animeleri ücretsiz olarak nasıl izleyeceğinizle ilgili. Ve bu kanalı ziyaret ettiğinize pişman olmayacağınızdan oldukça eminim. Teşekkürler!﻿","1"
" http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342 Lütfen daha fazla seçme puanı kazanmak için sese katılın. Lütfen beğenin ve paylaşın. Çok teşekkürler","1"
"Katy Perry lütfen yüzüme oturur musun? Bu gerçekten harika olur ve sana 5 dolar veririm. Tamam, bunu yapmak istiyorsan lütfen beni ara ve önce kanalıma abone ol, tamam bu iyi, sonra yüzüme otur ve ereksiyon olurum, sonra daha fazla otur, tamam mı?","1"
" YOUTUBE'DA EN ÇOK İZLENENLERDE TOP 10'DA, 9'UNCU SIRADA MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_vi ewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoE kVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&bvm=bv.73231344,d.bGQ&amp;cad=rja﻿","1"
